Vg [V]	Id [mA]
-5.05	-3.86
-4.94	-3.68
-4.82	-3.47
-4.66	-3.2
-4.57	-3.06
-4.49	-2.94
-4.39	-2.78
-4.28	-2.61
-4.12	-2.36
-3.97	-2.13
-3.71	-1.78
-3.48	-1.48
-3.3	-1.25
-3.24	-1.17
-3.16	-1.08
-3.07	-0.98
-3.02	-0.93
-2.92	-0.82
-2.84	-0.74
-2.8	-0.7
-2.73	-0.64
-2.7	-0.6
-2.64	-0.55
-2.56	-0.48
-2.5	-0.43
-2.45	-0.39
-2.41	-0.36
-2.35	-0.32
-2.28	-0.27
-2.22	-0.23
-2.14	-0.19
-2.07	-0.14
-1.97	-0.1
-1.92	-0.08
-1.85	-0.05
-1.71	-0.023
-1.63	-0.01
-1.53	-0.001
-1.49	0
0	0

