Vg [V]	Id [mA]
-5.05	-4.11
-4.84	-3.73
-4.73	-3.53
-4.63	-3.35
-4.53	-3.18
-4.39	-2.95
-4.29	-2.78
-4.13	-2.52
-4.02	-2.35
-3.91	-2.17
-3.77	-1.96
-3.66	-1.8
-3.53	-1.62
-3.38	-1.43
-3.21	-1.21
-3.08	-1.05
-2.94	-0.9
-2.83	-0.778
-2.66	-0.607
-2.53	-0.491
-2.4	-0.386
-2.31	-0.316
-2.25	-0.275
-2.17	-0.221
-2.08	-0.171
-2.02	-0.137
-1.92	-0.092
-1.84	-0.062
-1.78	-0.044
-1.68	-0.019
-1.56	-0.004
-1.48	0
0	0
