Vd [V]	Id[mA]
0.15	0.235
0.25	0.35
0.35	0.431
0.45	0.489
0.55	0.52
0.68	0.542
0.74	0.5488
0.82	0.552
0.85	0.554
0.89	0.556
0.95	0.558
0.99	0.559
1.04	0.56
1.11	0.562
1.19	0.564
1.23	0.565
1.34	0.566
1.4	0.567
1.45	0.568
1.51	0.569
1.62	0.57
1.77	0.572
1.94	0.573
2.15	0.575
2.36	0.577
2.55	0.578
2.72	0.579
2.92	0.58
3.03	0.581
3.28	0.582
3.51	0.583
4.02	0.586
4.41	0.587
4.94	0.59
4.96	0.59
