Vd [V]	Id[mA]
0.15	0.235
0.25	0.351
0.35	0.43
0.45	0.481
0.59	0.52
0.64	0.527
0.71	0.535
0.77	0.539
0.83	0.543
0.93	0.547
1.01	0.55
1.12	0.552
1.23	0.554
1.42	0.557
1.62	0.559
2.01	0.563
2.33	0.565
2.54	0.567
2.83	0.569
3.01	0.57
3.23	0.571
3.52	0.573
3.87	0.574
4.02	0.575
4.28	0.576
4.53	0.577
4.83	0.578
4.96	0.579

