vd	Id(M1)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-001	9.251541e-005
2.000000000000000e-001	1.766059e-004
3.000000000000000e-001	2.522325e-004
4.000000000000000e-001	3.193561e-004
5.000000000000000e-001	3.779377e-004
6.000000000000000e-001	4.279382e-004
7.000000000000000e-001	4.693185e-004
7.999999999999999e-001	5.020398e-004
8.999999999999999e-001	5.260629e-004
9.999999999999999e-001	5.413487e-004
1.100000000000000e+000	5.478582e-004
1.200000000000000e+000	5.487626e-004
1.300000000000000e+000	5.495712e-004
1.400000000000000e+000	5.503797e-004
1.500000000000000e+000	5.511884e-004
1.600000000000000e+000	5.519969e-004
1.700000000000000e+000	5.528055e-004
1.800000000000001e+000	5.536141e-004
1.900000000000001e+000	5.544227e-004
2.000000000000000e+000	5.552313e-004
2.100000000000001e+000	5.560399e-004
2.200000000000001e+000	5.568485e-004
2.300000000000001e+000	5.576571e-004
2.400000000000001e+000	5.584657e-004
2.500000000000001e+000	5.592743e-004
2.600000000000001e+000	5.600828e-004
2.700000000000001e+000	5.608914e-004
2.800000000000001e+000	5.617000e-004
2.900000000000001e+000	5.625086e-004
3.000000000000001e+000	5.633172e-004
3.100000000000001e+000	5.641258e-004
3.200000000000002e+000	5.649344e-004
3.300000000000002e+000	5.657430e-004
3.400000000000002e+000	5.665516e-004
3.500000000000002e+000	5.673601e-004
3.600000000000002e+000	5.681688e-004
3.700000000000002e+000	5.689773e-004
3.800000000000002e+000	5.697859e-004
3.900000000000002e+000	5.705945e-004
4.000000000000002e+000	5.714031e-004
4.100000000000001e+000	5.722117e-004
4.200000000000001e+000	5.730203e-004
4.300000000000001e+000	5.738289e-004
4.400000000000000e+000	5.746374e-004
4.500000000000000e+000	5.754461e-004
4.600000000000000e+000	5.762546e-004
4.699999999999999e+000	5.770632e-004
4.799999999999999e+000	5.778718e-004
4.899999999999999e+000	5.786804e-004
5.000000000000000e+000	5.794890e-004
