,CH1,CH2,CH3
Second,Volt,Volt,Volt
-4.22720e-05,6.80e+00,1.40e+01,5.20e-02, 
-4.22320e-05,6.80e+00,1.38e+01,5.60e-02, 
-4.21920e-05,6.80e+00,1.38e+01,5.20e-02, 
-4.21520e-05,7.00e+00,1.40e+01,5.40e-02, 
-4.21120e-05,6.80e+00,1.38e+01,5.20e-02, 
-4.20720e-05,7.00e+00,1.40e+01,5.60e-02, 
-4.20320e-05,7.00e+00,1.38e+01,5.40e-02, 
-4.19920e-05,6.80e+00,1.40e+01,5.20e-02, 
-4.19520e-05,7.00e+00,1.38e+01,5.40e-02, 
-4.19120e-05,7.00e+00,1.40e+01,5.20e-02, 
-4.18720e-05,7.00e+00,1.38e+01,5.40e-02, 
-4.18320e-05,7.00e+00,1.40e+01,5.20e-02, 
-4.17920e-05,7.00e+00,1.38e+01,5.60e-02, 
-4.17520e-05,7.20e+00,1.40e+01,5.20e-02, 
-4.17120e-05,7.00e+00,1.40e+01,5.60e-02, 
-4.16720e-05,7.20e+00,1.38e+01,5.20e-02, 
-4.16320e-05,7.00e+00,1.38e+01,5.20e-02, 
-4.15920e-05,7.20e+00,1.40e+01,5.60e-02, 
-4.15520e-05,7.00e+00,1.38e+01,5.20e-02, 
-4.15120e-05,7.20e+00,1.40e+01,5.60e-02, 
-4.14720e-05,7.20e+00,1.40e+01,5.20e-02, 
-4.14320e-05,7.20e+00,1.38e+01,5.40e-02, 
-4.13920e-05,7.20e+00,1.40e+01,5.20e-02, 
-4.13520e-05,7.40e+00,1.38e+01,5.60e-02, 
-4.13120e-05,7.40e+00,1.38e+01,5.20e-02, 
-4.12720e-05,7.20e+00,1.40e+01,5.60e-02, 
-4.12320e-05,7.40e+00,1.38e+01,5.20e-02, 
-4.11920e-05,7.60e+00,1.40e+01,5.40e-02, 
-4.11520e-05,7.40e+00,1.38e+01,5.40e-02, 
-4.11120e-05,7.60e+00,1.40e+01,5.20e-02, 
-4.10720e-05,7.60e+00,1.40e+01,5.40e-02, 
-4.10320e-05,7.40e+00,1.38e+01,5.20e-02, 
-4.09920e-05,7.40e+00,1.38e+01,5.40e-02, 
-4.09520e-05,7.60e+00,1.40e+01,5.20e-02, 
-4.09120e-05,7.60e+00,1.38e+01,5.20e-02, 
-4.08720e-05,7.80e+00,1.40e+01,5.40e-02, 
-4.08320e-05,7.60e+00,1.40e+01,5.40e-02, 
-4.07920e-05,7.80e+00,1.38e+01,5.20e-02, 
-4.07520e-05,7.80e+00,1.40e+01,5.40e-02, 
-4.07120e-05,7.60e+00,1.38e+01,5.20e-02, 
-4.06720e-05,7.80e+00,1.38e+01,5.40e-02, 
-4.06320e-05,7.60e+00,1.40e+01,5.20e-02, 
-4.05920e-05,7.80e+00,1.38e+01,5.20e-02, 
-4.05520e-05,7.80e+00,1.40e+01,5.60e-02, 
-4.05120e-05,7.80e+00,1.38e+01,5.40e-02, 
-4.04720e-05,7.80e+00,1.40e+01,5.20e-02, 
-4.04320e-05,7.80e+00,1.38e+01,5.40e-02, 
-4.03920e-05,7.80e+00,1.40e+01,5.20e-02, 
-4.03520e-05,7.80e+00,1.38e+01,5.20e-02, 
-4.03120e-05,8.00e+00,1.40e+01,5.60e-02, 
-4.02720e-05,7.80e+00,1.40e+01,5.40e-02, 
-4.02320e-05,8.00e+00,1.38e+01,5.20e-02, 
-4.01920e-05,7.80e+00,1.38e+01,5.40e-02, 
-4.01520e-05,8.00e+00,1.38e+01,5.20e-02, 
-4.01120e-05,8.00e+00,1.40e+01,5.40e-02, 
-4.00720e-05,7.80e+00,1.38e+01,5.20e-02, 
-4.00320e-05,8.00e+00,1.40e+01,5.20e-02, 
-3.99920e-05,8.00e+00,1.38e+01,5.40e-02, 
-3.99520e-05,8.20e+00,1.40e+01,8.60e-02, 
-3.99120e-05,7.80e+00,8.60e+00,1.00e-02, 
-3.98720e-05,9.20e+00,9.00e+00,-6.60e-02, 
-3.98320e-05,7.20e+00,-8.00e-01,1.98e-01, 
-3.97920e-05,7.20e+00,1.20e+00,1.50e-01, 
-3.97520e-05,8.80e+00,0.00e+00,-5.00e-02, 
-3.97120e-05,8.00e+00,1.00e+00,8.00e-02, 
-3.96720e-05,7.80e+00,1.40e+00,6.00e-03, 
-3.96320e-05,7.80e+00,1.20e+00,2.40e-02, 
-3.95920e-05,7.80e+00,1.40e+00,7.20e-02, 
-3.95520e-05,7.80e+00,1.20e+00,6.80e-02, 
