,CH1,CH2
Second,Volt,Volt
4.08000e-03,1.60e+01,6.40e-03, 
4.12000e-03,1.52e+01,-4.00e-03, 
4.16000e-03,1.52e+01,6.40e-03, 
4.20000e-03,1.36e+01,8.00e-04, 
4.24000e-03,1.36e+01,7.20e-03, 
4.28000e-03,1.24e+01,8.00e-04, 
4.32000e-03,1.24e+01,8.80e-03, 
4.36000e-03,1.08e+01,2.40e-03, 
4.40000e-03,1.08e+01,4.00e-03, 
4.44000e-03,9.20e+00,1.12e-02, 
4.48000e-03,9.20e+00,8.00e-04, 
4.52000e-03,7.60e+00,8.80e-03, 
4.56000e-03,7.20e+00,1.20e-02, 
4.60000e-03,5.20e+00,1.60e-03, 
4.64000e-03,5.20e+00,1.52e-02, 
4.68000e-03,3.60e+00,4.00e-03, 
4.72000e-03,3.60e+00,1.20e-02, 
4.76000e-03,1.60e+00,4.00e-03, 
4.80000e-03,1.20e+00,1.20e-02, 
4.84000e-03,-8.00e-01,3.20e-03, 
4.88000e-03,-8.00e-01,4.80e-03, 
4.92000e-03,-2.80e+00,1.20e-02, 
4.96000e-03,-2.80e+00,1.20e-02, 
5.00000e-03,-4.80e+00,4.80e-03, 
5.04000e-03,-4.40e+00,1.04e-02, 
5.08000e-03,-6.40e+00,4.80e-03, 
5.12000e-03,-6.40e+00,7.20e-03, 
5.16000e-03,-8.00e+00,4.80e-03, 
5.20000e-03,-8.00e+00,8.80e-03, 
5.24000e-03,-9.20e+00,8.00e-04, 
5.28000e-03,-9.20e+00,1.04e-02, 
5.32000e-03,-1.04e+01,0.00e+00, 
5.36000e-03,-1.08e+01,-1.60e-03, 
5.40000e-03,-1.16e+01,8.00e-03, 
5.44000e-03,-1.16e+01,-1.60e-03, 
5.48000e-03,-1.24e+01,8.00e-03, 
5.52000e-03,-1.24e+01,7.20e-03, 
5.56000e-03,-1.32e+01,-5.60e-03, 
5.60000e-03,-1.32e+01,1.60e-03, 
5.64000e-03,-1.36e+01,-3.20e-03, 
5.68000e-03,-1.36e+01,-5.60e-03, 
5.72000e-03,-1.36e+01,1.60e-03, 
5.76000e-03,-1.40e+01,-7.20e-03, 
5.80000e-03,-1.24e+01,8.00e-04, 
5.84000e-03,-1.20e+01,-8.00e-04, 
5.88000e-03,-1.24e+01,-8.00e-03, 
5.92000e-03,-1.20e+01,-4.80e-03, 
5.96000e-03,-1.16e+01,-8.80e-03, 
6.00000e-03,-1.16e+01,-1.12e-02, 
6.04000e-03,-1.08e+01,-4.00e-03, 
6.08000e-03,-1.08e+01,-3.20e-03, 
6.12000e-03,-1.00e+01,-8.80e-03, 
6.16000e-03,-1.00e+01,-3.20e-03, 
6.20000e-03,-9.20e+00,-1.36e-02, 
6.24000e-03,-9.20e+00,-1.12e-02, 
6.28000e-03,-8.00e+00,-4.80e-03, 
6.32000e-03,-8.00e+00,-5.60e-03, 
6.36000e-03,-6.80e+00,-1.36e-02, 
6.40000e-03,-6.40e+00,-1.68e-02, 
6.44000e-03,-5.60e+00,-8.00e-03, 
6.48000e-03,-4.80e+00,-1.68e-02, 
6.52000e-03,-4.00e+00,-8.00e-03, 
6.56000e-03,-4.40e+00,-8.00e-03, 
6.60000e-03,-2.80e+00,-1.44e-02, 
6.64000e-03,-2.40e+00,-1.60e-02, 
