,CH1,CH2
Second,Volt,Volt
8.70000e-04,3.60e+00,1.76e-02, 
8.80000e-04,3.60e+00,1.20e-02, 
8.90000e-04,2.80e+00,2.08e-02, 
9.00000e-04,2.80e+00,1.28e-02, 
9.10000e-04,2.00e+00,1.92e-02, 
9.20000e-04,2.00e+00,2.08e-02, 
9.30000e-04,1.20e+00,1.20e-02, 
9.40000e-04,1.20e+00,9.60e-03, 
9.50000e-04,8.00e-01,2.08e-02, 
9.60000e-04,4.00e-01,2.16e-02, 
9.70000e-04,-4.00e-01,1.28e-02, 
9.80000e-04,0.00e+00,9.60e-03, 
9.90000e-04,-1.20e+00,2.00e-02, 
1.00000e-03,-1.20e+00,1.20e-02, 
1.01000e-03,-2.00e+00,1.68e-02, 
1.02000e-03,-2.00e+00,2.00e-02, 
1.03000e-03,-3.20e+00,1.44e-02, 
1.04000e-03,-2.80e+00,1.76e-02, 
1.05000e-03,-3.60e+00,1.04e-02, 
1.06000e-03,-3.60e+00,1.04e-02, 
1.07000e-03,-4.40e+00,1.84e-02, 
1.08000e-03,-4.80e+00,1.92e-02, 
1.09000e-03,-5.20e+00,1.36e-02, 
1.10000e-03,-5.20e+00,1.04e-02, 
1.11000e-03,-6.00e+00,1.92e-02, 
1.12000e-03,-6.40e+00,1.76e-02, 
1.13000e-03,-6.80e+00,9.60e-03, 
1.14000e-03,-6.80e+00,1.28e-02, 
1.15000e-03,-7.60e+00,2.08e-02, 
1.16000e-03,-7.60e+00,9.60e-03, 
1.17000e-03,-8.00e+00,1.52e-02, 
1.18000e-03,-8.40e+00,1.76e-02, 
1.19000e-03,-9.20e+00,1.04e-02, 
1.20000e-03,-9.20e+00,8.00e-03, 
1.21000e-03,-9.60e+00,1.92e-02, 
1.22000e-03,-9.60e+00,1.84e-02, 
1.23000e-03,-1.04e+01,8.80e-03, 
1.24000e-03,-1.04e+01,1.52e-02, 
1.25000e-03,-1.12e+01,8.80e-03, 
1.26000e-03,-1.12e+01,8.00e-03, 
1.27000e-03,-1.20e+01,1.68e-02, 
1.28000e-03,-1.20e+01,8.80e-03, 
1.29000e-03,-1.24e+01,1.76e-02, 
1.30000e-03,-1.24e+01,1.76e-02, 
1.31000e-03,-1.36e+01,8.80e-03, 
1.32000e-03,-1.36e+01,7.20e-03, 
1.33000e-03,-1.40e+01,1.52e-02, 
1.34000e-03,-1.36e+01,1.84e-02, 
1.35000e-03,-1.44e+01,8.00e-03, 
1.36000e-03,-1.48e+01,1.76e-02, 
1.37000e-03,-1.44e+01,8.80e-03, 
1.38000e-03,-1.48e+01,1.44e-02, 
