Vd [V]	Id[mA]
-5.05	-2.9
-4.57	-2.84
-4.34	-2.8
-3.63	-2.7
-3.09	-2.6
-2.73	-2.52
-2.49	-2.45
-2.06	-2.27
-1.82	-2.14
-1.65	-2.02
-1.43	-1.84
-1.27	-1.7
-1.09	-1.51
-0.99	-1.41
-0.88	-1.28
-0.79	-1.18
-0.71	-1.07
-0.66	-1
-0.61	-0.94
-0.57	-0.88
-0.53	-0.82
-0.49	-0.78
-0.45	-0.71
-0.41	-0.66
-0.39	-0.62
-0.35	-0.57
-0.31	-0.51
-0.27	-0.44
-0.22	-0.37
-0.19	-0.32
-0.17	-0.29
-0.15	-0.26
-0.14	-0.23
