Vd [V]	Id[mA]
-5.02	-2.93
-4.26	-2.82
-3.68	-2.73
-2.91	-2.58
-2.46	-2.46
-2.13	-2.31
-1.86	-2.17
-1.74	-2.09
-1.61	-1.99
-1.44	-1.85
-1.31	-1.73
-1.19	-1.62
-1.09	-1.52
-1.02	-1.44
-0.95	-1.36
-0.89	-1.29
-0.8	-1.18
-0.72	-1.07
-0.65	-0.98
-0.58	-0.89
-0.51	-0.79
-0.43	-0.68
-0.36	-0.58
-0.3	-0.48
-0.24	-0.39
-0.17	-0.28
-0.14	-0.23

