,CH1,CH2,CH3
Second,Volt,Volt,Volt
-4.30720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.30320e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.29920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.29520e-05,-2.00e-01,4.00e-01,6.00e-03, 
-4.29120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.28720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.28320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.27920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.27520e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.27120e-05,-2.00e-01,2.00e-01,6.00e-03, 
-4.26720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.26320e-05,-2.00e-01,2.00e-01,6.00e-03, 
-4.25920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.25520e-05,-2.00e-01,4.00e-01,2.00e-03, 
-4.25120e-05,-2.00e-01,4.00e-01,6.00e-03, 
-4.24720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.24320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.23920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.23520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.23120e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.22720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.22320e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.21920e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.21520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.21120e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.20720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.20320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.19920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.19520e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.19120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.18720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.18320e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.17920e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.17520e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.17120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.16720e-05,-2.00e-01,4.00e-01,2.00e-03, 
-4.16320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.15920e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.15520e-05,-2.00e-01,4.00e-01,6.00e-03, 
-4.15120e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.14720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.14320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.13920e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.13520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.13120e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.12720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.12320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.11920e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.11520e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.11120e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.10720e-05,-2.00e-01,4.00e-01,4.00e-03, 
