X,CH1,CH2,
Second,Volt,Volt,
-6.80000e-06,1.60e+01,4.00e+00
-6.78000e-06,1.58e+01,4.00e+00
-6.76000e-06,1.60e+01,4.00e+00
-6.74000e-06,1.58e+01,4.00e+00
-6.72000e-06,1.60e+01,4.00e+00
-6.70000e-06,1.54e+01,4.00e+00
-6.68000e-06,1.62e+01,4.00e+00
-6.66000e-06,1.56e+01,4.00e+00
-6.64000e-06,1.60e+01,4.00e+00
-6.62000e-06,1.58e+01,4.00e+00
-6.60000e-06,1.58e+01,4.00e+00
-6.58000e-06,1.60e+01,4.00e+00
-6.56000e-06,1.56e+01,4.00e+00
-6.54000e-06,1.60e+01,4.00e+00
-6.52000e-06,1.60e+01,4.00e+00
-6.50000e-06,1.56e+01,4.00e+00
-6.48000e-06,1.56e+01,4.00e+00
-6.46000e-06,1.60e+01,4.00e+00
-6.44000e-06,1.60e+01,4.00e+00
-6.42000e-06,1.56e+01,4.00e+00
-6.40000e-06,1.60e+01,4.00e+00
-6.38000e-06,1.56e+01,4.00e+00
-6.36000e-06,1.58e+01,4.00e+00
-6.34000e-06,1.64e+01,4.00e+00
-6.32000e-06,1.62e+01,4.00e+00
-6.30000e-06,1.56e+01,4.00e+00
-6.28000e-06,1.58e+01,4.00e+00
-6.26000e-06,1.54e+01,4.00e+00
-6.24000e-06,1.64e+01,4.00e+00
-6.22000e-06,1.56e+01,4.00e+00
-6.20000e-06,1.60e+01,4.00e+00
-6.18000e-06,1.58e+01,4.00e+00
-6.16000e-06,1.58e+01,4.00e+00
-6.14000e-06,1.60e+01,4.00e+00
-6.12000e-06,1.60e+01,4.00e+00
-6.10000e-06,1.58e+01,4.00e+00
-6.08000e-06,1.58e+01,4.00e+00
-6.06000e-06,1.54e+01,4.00e+00
-6.04000e-06,1.58e+01,4.00e+00
-6.02000e-06,1.64e+01,4.00e+00
-6.00000e-06,1.54e+01,4.00e+00
-5.98000e-06,1.62e+01,4.00e+00
