vd	Id(M1)
-5.000000000000000e+000	-2.910217e-003
-4.900000000000000e+000	-2.892154e-003
-4.800000000000001e+000	-2.874090e-003
-4.700000000000001e+000	-2.856027e-003
-4.600000000000001e+000	-2.837963e-003
-4.500000000000002e+000	-2.819900e-003
-4.400000000000002e+000	-2.801836e-003
-4.300000000000003e+000	-2.783773e-003
-4.200000000000003e+000	-2.765710e-003
-4.100000000000003e+000	-2.747646e-003
-4.000000000000004e+000	-2.729583e-003
-3.900000000000004e+000	-2.711519e-003
-3.800000000000003e+000	-2.693456e-003
-3.700000000000003e+000	-2.675393e-003
-3.600000000000003e+000	-2.657329e-003
-3.500000000000003e+000	-2.639266e-003
-3.400000000000003e+000	-2.621202e-003
-3.300000000000003e+000	-2.603139e-003
-3.200000000000003e+000	-2.585076e-003
-3.100000000000003e+000	-2.567012e-003
-3.000000000000003e+000	-2.548949e-003
-2.900000000000003e+000	-2.530885e-003
-2.800000000000003e+000	-2.512822e-003
-2.700000000000002e+000	-2.494758e-003
-2.600000000000002e+000	-2.476695e-003
-2.500000000000002e+000	-2.458624e-003
-2.400000000000002e+000	-2.436327e-003
-2.300000000000002e+000	-2.406368e-003
-2.200000000000002e+000	-2.368920e-003
-2.100000000000002e+000	-2.324154e-003
-2.000000000000002e+000	-2.272246e-003
-1.900000000000002e+000	-2.213366e-003
-1.800000000000002e+000	-2.147688e-003
-1.700000000000002e+000	-2.075385e-003
-1.600000000000001e+000	-1.996630e-003
-1.500000000000001e+000	-1.911594e-003
-1.400000000000001e+000	-1.820452e-003
-1.300000000000001e+000	-1.723376e-003
-1.200000000000001e+000	-1.620538e-003
-1.100000000000001e+000	-1.512112e-003
-1.000000000000001e+000	-1.398269e-003
-9.000000000000009e-001	-1.279184e-003
-8.000000000000009e-001	-1.155029e-003
-7.000000000000010e-001	-1.025977e-003
-6.000000000000010e-001	-8.922000e-004
-5.000000000000010e-001	-7.538713e-004
-4.000000000000010e-001	-6.111637e-004
-3.000000000000010e-001	-4.642500e-004
-2.000000000000010e-001	-3.133029e-004
-1.000000000000010e-001	-1.584953e-004
0.000000000000000e+000	0.000000e+000
