Vd [V]	Id[mA]
-5.05	-2.91
-4.64	-2.85
-4.2	-2.79
-3.63	-2.7
-3.34	-2.65
-2.82	-2.54
-2.4	-2.42
-2.13	-2.3
-1.9	-2.19
-1.71	-2.02
-1.59	-1.97
-1.46	-1.87
-1.32	-1.75
-1.23	-1.66
-1.15	-1.58
-1.03	-1.45
-0.94	-1.35
-0.87	-1.27
-0.78	-1.16
-0.69	-1.05
-0.63	-0.97
-0.56	-0.88
-0.48	-0.76
-0.43	-0.69
-0.36	-0.58
-0.3	-0.49
-0.25	-0.41
-0.2	-0.35
-0.17	-0.29
-0.15	-0.25
-0.14	-0.23

