Vd [V]	Id[mA]
-5	-0.582
-4.47	-0.566
-4.04	-0.552
-3.69	-0.541
-3.09	-0.521
-2.61	-0.503
-2.12	-0.484
-1.83	-0.471
-1.57	-0.459
-1.25	-0.44
-1.11	-0.429
-1	-0.418
-0.94	-0.41
-0.86	-0.399
-0.79	-0.387
-0.73	-0.373
-0.68	-0.359
-0.65	-0.352
-0.62	-0.342
-0.59	-0.332
-0.57	-0.327
-0.55	-0.318
-0.53	-0.311
-0.51	-0.306
-0.5	-0.299
-0.48	-0.29
-0.45	-0.279
-0.43	-0.272
-0.41	-0.262
-0.39	-0.25
-0.35	-0.233
-0.33	-0.22

