vd	Id(M1)
-5.000000000000000e+000	-5.813128e-004
-4.900000000000000e+000	-5.781156e-004
-4.800000000000001e+000	-5.749183e-004
-4.700000000000001e+000	-5.717211e-004
-4.600000000000001e+000	-5.685239e-004
-4.500000000000002e+000	-5.653267e-004
-4.400000000000002e+000	-5.621295e-004
-4.300000000000003e+000	-5.589323e-004
-4.200000000000003e+000	-5.557350e-004
-4.100000000000003e+000	-5.525379e-004
-4.000000000000004e+000	-5.493406e-004
-3.900000000000004e+000	-5.461434e-004
-3.800000000000003e+000	-5.429462e-004
-3.700000000000003e+000	-5.397489e-004
-3.600000000000003e+000	-5.365518e-004
-3.500000000000003e+000	-5.333545e-004
-3.400000000000003e+000	-5.301573e-004
-3.300000000000003e+000	-5.269601e-004
-3.200000000000003e+000	-5.237629e-004
-3.100000000000003e+000	-5.205657e-004
-3.000000000000003e+000	-5.173684e-004
-2.900000000000003e+000	-5.141712e-004
-2.800000000000003e+000	-5.109740e-004
-2.700000000000002e+000	-5.077768e-004
-2.600000000000002e+000	-5.045796e-004
-2.500000000000002e+000	-5.013823e-004
-2.400000000000002e+000	-4.981851e-004
-2.300000000000002e+000	-4.949879e-004
-2.200000000000002e+000	-4.917907e-004
-2.100000000000002e+000	-4.885935e-004
-2.000000000000002e+000	-4.853962e-004
-1.900000000000002e+000	-4.821990e-004
-1.800000000000002e+000	-4.790018e-004
-1.700000000000002e+000	-4.758046e-004
-1.600000000000001e+000	-4.726074e-004
-1.500000000000001e+000	-4.694102e-004
-1.400000000000001e+000	-4.662129e-004
-1.300000000000001e+000	-4.630157e-004
-1.200000000000001e+000	-4.598185e-004
-1.100000000000001e+000	-4.559818e-004
-1.000000000000001e+000	-4.463471e-004
-9.000000000000009e-001	-4.299082e-004
-8.000000000000009e-001	-4.068118e-004
-7.000000000000010e-001	-3.772048e-004
-6.000000000000010e-001	-3.412342e-004
-5.000000000000010e-001	-2.990468e-004
-4.000000000000010e-001	-2.507896e-004
-3.000000000000010e-001	-1.966094e-004
-2.000000000000010e-001	-1.366532e-004
-1.000000000000010e-001	-7.106772e-005
0.000000000000000e+000	0.000000e+000
