vd	Id(M1)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-001	2.125333e-004
2.000000000000000e-001	4.170012e-004
3.000000000000000e-001	6.133647e-004
4.000000000000000e-001	8.015847e-004
5.000000000000000e-001	9.816221e-004
6.000000000000000e-001	1.153438e-003
7.000000000000000e-001	1.316993e-003
7.999999999999999e-001	1.472249e-003
8.999999999999999e-001	1.619166e-003
9.999999999999999e-001	1.757706e-003
1.100000000000000e+000	1.887828e-003
1.200000000000000e+000	2.009495e-003
1.300000000000000e+000	2.122667e-003
1.400000000000000e+000	2.227305e-003
1.500000000000000e+000	2.323370e-003
1.600000000000000e+000	2.410823e-003
1.700000000000000e+000	2.489625e-003
1.800000000000001e+000	2.559737e-003
1.900000000000001e+000	2.621120e-003
2.000000000000000e+000	2.673735e-003
2.100000000000001e+000	2.717543e-003
2.200000000000001e+000	2.752504e-003
2.300000000000001e+000	2.778580e-003
2.400000000000001e+000	2.795732e-003
2.500000000000001e+000	2.803928e-003
2.600000000000001e+000	2.807982e-003
2.700000000000001e+000	2.812035e-003
2.800000000000001e+000	2.816089e-003
2.900000000000001e+000	2.820143e-003
3.000000000000001e+000	2.824197e-003
3.100000000000001e+000	2.828251e-003
3.200000000000002e+000	2.832305e-003
3.300000000000002e+000	2.836359e-003
3.400000000000002e+000	2.840413e-003
3.500000000000002e+000	2.844466e-003
3.600000000000002e+000	2.848520e-003
3.700000000000002e+000	2.852574e-003
3.800000000000002e+000	2.856628e-003
3.900000000000002e+000	2.860682e-003
4.000000000000002e+000	2.864736e-003
4.100000000000001e+000	2.868790e-003
4.200000000000001e+000	2.872844e-003
4.300000000000001e+000	2.876897e-003
4.400000000000000e+000	2.880951e-003
4.500000000000000e+000	2.885005e-003
4.600000000000000e+000	2.889059e-003
4.699999999999999e+000	2.893113e-003
4.799999999999999e+000	2.897167e-003
4.899999999999999e+000	2.901221e-003
5.000000000000000e+000	2.905275e-003
