Vce[mV]	Ic[mA]
17	0.28
20	0.37
29	0.667
41	1.235
51	1.83
60	2.53
70	3.36
78	4.19
85	4.91
99	6.58
121	8.9
142	11.41
198	13.8
251	16.2
390	18.5
405	18.66
456	19.2
551	20.1
612	20.7
682	21.3
717	21.9
854	22.5
940	23.2
987	23.4
1250	23.9
1556	24.5
1850	24.7
1920	24.8
2030	24.9
3000	25.4
4470	26
4840	26.45

