Vd [V]	Id[mA]
-5.05	-0.579
-4.989	-0.577
-4.71	-0.569
-4.33	-0.557
-3.96	-0.546
-3.73	-0.538
-3.39	-0.527
-3.13	-0.518
-2.8	-0.506
-2.53	-0.496
-2.3	-0.487
-2.08	-0.478
-1.83	-0.467
-1.58	-0.455
-1.42	-0.446
-1.28	-0.437
-1.1	-0.422
-0.9	-0.396
-0.83	-0.384
-0.77	-0.371
-0.73	-0.36
-0.69	-0.351
-0.66	-0.342
-0.64	-0.334
-0.61	-0.327
-0.58	-0.316
-0.56	-0.309
-0.52	-0.295
-0.49	-0.284
-0.48	-0.276
-0.46	-0.267
-0.43	-0.257
-0.41	-0.248
-0.38	-0.232
-0.36	-0.223

