Vd [V]	Id[mA]
-5.05	-0.58
-4.65	-0.56
-4.26	-0.55
-3.87	-0.54
-3.54	-0.53
-3.24	-0.52
-2.96	-0.51
-2.72	-0.5
-2.55	-0.49
-2.26	-0.48
-2.05	-0.47
-1.95	-0.466
-1.8	-0.459
-1.7	-0.454
-1.5	-0.443
-1.36	-0.44
-1.22	-0.43
-1.06	-0.42
-0.96	-0.41
-0.85	-0.39
-0.77	-0.37
-0.68	-0.35
-0.6	-0.33
-0.53	-0.31
-0.48	-0.29
-0.42	-0.26
-0.38	-0.24
-0.35	-0.23
-0.34	-0.23

