Vg	Id[mA]
0	0
1.3	0
1.34	0.01
1.56	0.05
1.67	0.09
1.75	0.12
1.82	0.16
1.89	0.19
1.96	0.23
2.06	0.3
2.16	0.37
2.24	0.44
2.31	0.5
2.37	0.56
2.44	0.62
2.52	0.7
2.62	0.82
2.71	0.92
2.79	1.01
2.9	1.16
3.03	1.31
3.16	1.5
3.3	1.71
3.47	1.96
3.6	2.18
3.71	2.36
4.05	2.95
4.17	3.17
4.3	3.42
4.46	3.73
4.6	4
4.7	4.21
4.78	4.37
4.93	4.67
5.05	4.94
