Vd [V]	Id[mA]
0.08	0.24
0.1	0.31
0.11	0.35
0.13	0.41
0.15	0.46
0.16	0.51
0.18	0.56
0.2	0.62
0.23	0.7
0.26	0.81
0.3	0.89
0.33	0.98
0.37	1.08
0.38	1.1
0.44	1.25
0.49	1.38
0.5	1.4
0.57	1.57
0.66	1.74
0.71	1.84
0.82	2.03
0.96	2.23
1.16	2.46
1.74	2.75
2.08	2.79
2.92	2.84
3.27	2.86
3.36	2.85
3.82	2.87
4.36	2.88
4.99	2.89
5.02	2.89
