vd	Id(M1)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-001	2.018581e-004
2.000000000000000e-001	3.964885e-004
3.000000000000000e-001	5.838720e-004
4.000000000000000e-001	7.639892e-004
5.000000000000000e-001	9.368210e-004
6.000000000000000e-001	1.102348e-003
7.000000000000000e-001	1.260551e-003
7.999999999999999e-001	1.411410e-003
8.999999999999999e-001	1.554907e-003
9.999999999999999e-001	1.691021e-003
1.100000000000000e+000	1.819734e-003
1.200000000000000e+000	1.941027e-003
1.300000000000000e+000	2.054880e-003
1.400000000000000e+000	2.161273e-003
1.500000000000000e+000	2.260188e-003
1.600000000000000e+000	2.351605e-003
1.700000000000000e+000	2.435505e-003
1.800000000000001e+000	2.511869e-003
1.900000000000001e+000	2.580677e-003
2.000000000000000e+000	2.641910e-003
2.100000000000001e+000	2.695548e-003
2.200000000000001e+000	2.741573e-003
2.300000000000001e+000	2.779965e-003
2.400000000000001e+000	2.810705e-003
2.500000000000001e+000	2.833773e-003
2.600000000000001e+000	2.849151e-003
2.700000000000001e+000	2.856818e-003
2.800000000000001e+000	2.859327e-003
2.900000000000001e+000	2.861704e-003
3.000000000000001e+000	2.864081e-003
3.100000000000001e+000	2.866458e-003
3.200000000000002e+000	2.868835e-003
3.300000000000002e+000	2.871213e-003
3.400000000000002e+000	2.873590e-003
3.500000000000002e+000	2.875967e-003
3.600000000000002e+000	2.878344e-003
3.700000000000002e+000	2.880721e-003
3.800000000000002e+000	2.883098e-003
3.900000000000002e+000	2.885475e-003
4.000000000000002e+000	2.887852e-003
4.100000000000001e+000	2.890229e-003
4.200000000000001e+000	2.892606e-003
4.300000000000001e+000	2.894983e-003
4.400000000000000e+000	2.897361e-003
4.500000000000000e+000	2.899738e-003
4.600000000000000e+000	2.902115e-003
4.699999999999999e+000	2.904492e-003
4.799999999999999e+000	2.906869e-003
4.899999999999999e+000	2.909246e-003
5.000000000000000e+000	2.911623e-003
