vg	Id(M1)
0.000000000000000e+000	1.001000e-011
1.000000000000000e-001	1.001000e-011
2.000000000000000e-001	1.001000e-011
3.000000000000000e-001	1.001000e-011
4.000000000000000e-001	1.001000e-011
5.000000000000000e-001	1.001000e-011
6.000000000000000e-001	1.001000e-011
7.000000000000000e-001	1.001000e-011
7.999999999999999e-001	1.001000e-011
8.999999999999999e-001	1.001000e-011
9.999999999999999e-001	1.001000e-011
1.100000000000000e+000	1.001000e-011
1.200000000000000e+000	3.475428e-007
1.300000000000000e+000	6.627710e-006
1.400000000000000e+000	2.078763e-005
1.500000000000000e+000	4.282732e-005
1.600000000000000e+000	7.274676e-005
1.700000000000000e+000	1.105460e-004
1.800000000000001e+000	1.562249e-004
1.900000000000001e+000	2.097836e-004
2.000000000000000e+000	2.712221e-004
2.100000000000001e+000	3.405403e-004
2.200000000000001e+000	4.177383e-004
2.300000000000001e+000	5.028161e-004
2.400000000000001e+000	5.957736e-004
2.500000000000001e+000	6.966108e-004
2.600000000000001e+000	8.053278e-004
2.700000000000001e+000	9.219246e-004
2.800000000000001e+000	1.046401e-003
2.900000000000001e+000	1.178757e-003
3.000000000000001e+000	1.318994e-003
3.100000000000001e+000	1.467109e-003
3.200000000000002e+000	1.623105e-003
3.300000000000002e+000	1.786980e-003
3.400000000000002e+000	1.958735e-003
3.500000000000002e+000	2.138370e-003
3.600000000000002e+000	2.325885e-003
3.700000000000002e+000	2.521279e-003
3.800000000000002e+000	2.724553e-003
3.900000000000002e+000	2.935707e-003
4.000000000000002e+000	3.154741e-003
4.100000000000001e+000	3.381654e-003
4.200000000000001e+000	3.616447e-003
4.300000000000001e+000	3.859120e-003
4.400000000000000e+000	4.109673e-003
4.500000000000000e+000	4.368105e-003
4.600000000000000e+000	4.634417e-003
4.699999999999999e+000	4.908609e-003
4.799999999999999e+000	5.190681e-003
4.899999999999999e+000	5.480632e-003
5.000000000000000e+000	5.778464e-003
