vg	Id(M1)
0.000000000000000e+000	1.000100e-011
1.000000000000000e-001	1.000100e-011
2.000000000000000e-001	1.000100e-011
3.000000000000000e-001	1.000100e-011
4.000000000000000e-001	1.000100e-011
5.000000000000000e-001	1.000100e-011
6.000000000000000e-001	1.000100e-011
7.000000000000000e-001	1.000100e-011
7.999999999999999e-001	1.000100e-011
8.999999999999999e-001	1.000100e-011
9.999999999999999e-001	1.000100e-011
1.100000000000000e+000	1.000100e-011
1.200000000000000e+000	1.000100e-011
1.300000000000000e+000	1.000100e-011
1.400000000000000e+000	1.000100e-011
1.500000000000000e+000	1.000100e-011
1.600000000000000e+000	1.000100e-011
1.700000000000000e+000	1.000100e-011
1.800000000000001e+000	4.197115e-007
1.900000000000001e+000	7.881072e-006
2.000000000000000e+000	2.466913e-005
2.100000000000001e+000	5.078389e-005
2.200000000000001e+000	8.622535e-005
2.300000000000001e+000	1.309935e-004
2.400000000000001e+000	1.850884e-004
2.500000000000001e+000	2.485099e-004
2.600000000000001e+000	3.212582e-004
2.700000000000001e+000	4.033332e-004
2.800000000000001e+000	4.947348e-004
2.900000000000001e+000	5.954631e-004
3.000000000000001e+000	7.055182e-004
3.100000000000001e+000	8.249000e-004
3.200000000000002e+000	9.536084e-004
3.300000000000002e+000	1.091644e-003
3.400000000000002e+000	1.239005e-003
3.500000000000002e+000	1.395694e-003
3.600000000000002e+000	1.561709e-003
3.700000000000002e+000	1.737051e-003
3.800000000000002e+000	1.921720e-003
3.900000000000002e+000	2.115715e-003
4.000000000000002e+000	2.319037e-003
4.100000000000001e+000	2.531686e-003
4.200000000000001e+000	2.753661e-003
4.300000000000001e+000	2.984964e-003
4.400000000000000e+000	3.225593e-003
4.500000000000000e+000	3.475548e-003
4.600000000000000e+000	3.734830e-003
4.699999999999999e+000	4.003440e-003
4.799999999999999e+000	4.281375e-003
4.899999999999999e+000	4.568637e-003
5.000000000000000e+000	4.865226e-003
