,CH1,CH2
Second,Volt,Volt
1.70000e-04,3.44e+01,-2.40e-03, 
1.80000e-04,3.48e+01,0.00e+00, 
1.90000e-04,3.40e+01,7.20e-03, 
2.00000e-04,3.40e+01,2.88e-02, 
2.10000e-04,3.36e+01,-2.40e-03, 
2.20000e-04,3.36e+01,8.00e-04, 
2.30000e-04,3.32e+01,8.80e-03, 
2.40000e-04,3.36e+01,3.20e-03, 
2.50000e-04,3.28e+01,8.80e-03, 
2.60000e-04,3.24e+01,1.04e-02, 
2.70000e-04,3.20e+01,3.20e-03, 
2.80000e-04,3.20e+01,3.20e-03, 
2.90000e-04,3.16e+01,1.20e-02, 
3.00000e-04,3.16e+01,9.60e-03, 
3.10000e-04,3.08e+01,3.20e-03, 
3.20000e-04,3.08e+01,3.20e-03, 
3.30000e-04,3.04e+01,1.28e-02, 
3.40000e-04,3.04e+01,1.60e-02, 
3.50000e-04,2.92e+01,8.00e-03, 
3.60000e-04,2.96e+01,1.28e-02, 
3.70000e-04,2.88e+01,6.40e-03, 
3.80000e-04,2.92e+01,1.60e-02, 
3.90000e-04,2.80e+01,8.00e-03, 
4.00000e-04,2.80e+01,8.00e-03, 
4.10000e-04,2.76e+01,1.76e-02, 
4.20000e-04,2.76e+01,1.12e-02, 
4.30000e-04,2.64e+01,1.60e-02, 
4.40000e-04,2.64e+01,1.20e-02, 
4.50000e-04,2.56e+01,1.68e-02, 
4.60000e-04,2.60e+01,2.00e-02, 
4.70000e-04,2.52e+01,1.20e-02, 
4.80000e-04,2.52e+01,8.80e-03, 
4.90000e-04,2.40e+01,2.24e-02, 
5.00000e-04,2.40e+01,2.08e-02, 
5.10000e-04,2.32e+01,1.44e-02, 
5.20000e-04,2.32e+01,9.60e-03, 
5.30000e-04,2.20e+01,2.08e-02, 
5.40000e-04,2.24e+01,1.44e-02, 
5.50000e-04,2.12e+01,2.16e-02, 
5.60000e-04,2.08e+01,1.44e-02, 
5.70000e-04,2.04e+01,1.92e-02, 
5.80000e-04,2.04e+01,1.60e-02, 
5.90000e-04,1.92e+01,2.40e-02, 
6.00000e-04,1.92e+01,1.44e-02, 
6.10000e-04,1.80e+01,2.32e-02, 
6.20000e-04,1.80e+01,2.16e-02, 
6.30000e-04,1.72e+01,1.52e-02, 
6.40000e-04,1.72e+01,2.32e-02, 
6.50000e-04,1.60e+01,1.60e-02, 
6.60000e-04,1.60e+01,2.24e-02, 
6.70000e-04,1.52e+01,1.60e-02, 
6.80000e-04,1.52e+01,2.32e-02, 
6.90000e-04,1.44e+01,1.76e-02, 
7.00000e-04,1.40e+01,1.76e-02, 
7.10000e-04,1.32e+01,2.48e-02, 
7.20000e-04,1.28e+01,1.76e-02, 
7.30000e-04,1.20e+01,2.40e-02, 
7.40000e-04,1.20e+01,1.92e-02, 
7.50000e-04,1.08e+01,2.40e-02, 
7.60000e-04,1.08e+01,2.56e-02, 
7.70000e-04,9.60e+00,1.76e-02, 
7.80000e-04,9.60e+00,2.64e-02, 
7.90000e-04,8.40e+00,1.76e-02, 
8.00000e-04,8.40e+00,1.84e-02, 
8.10000e-04,8.00e+00,2.64e-02, 
8.20000e-04,7.60e+00,2.80e-02, 
8.30000e-04,6.40e+00,2.00e-02, 
8.40000e-04,6.40e+00,2.80e-02, 
8.50000e-04,5.20e+00,1.76e-02, 
8.60000e-04,5.20e+00,3.12e-02, 
8.70000e-04,4.00e+00,1.92e-02, 
8.80000e-04,4.00e+00,2.48e-02, 
8.90000e-04,2.80e+00,1.76e-02, 
9.00000e-04,2.80e+00,1.76e-02, 
9.10000e-04,1.60e+00,2.64e-02, 
9.20000e-04,1.60e+00,1.44e-02, 
9.30000e-04,8.00e-01,2.64e-02, 
9.40000e-04,8.00e-01,1.84e-02, 
9.50000e-04,-8.00e-01,2.64e-02, 
9.60000e-04,-8.00e-01,1.68e-02, 
9.70000e-04,-2.00e+00,2.48e-02, 
9.80000e-04,-2.00e+00,1.76e-02, 
9.90000e-04,-2.80e+00,2.64e-02, 
1.00000e-03,-2.80e+00,2.00e-02, 
1.01000e-03,-3.60e+00,2.72e-02, 
1.02000e-03,-3.60e+00,2.64e-02, 
1.03000e-03,-5.20e+00,2.00e-02, 
1.04000e-03,-4.80e+00,2.40e-02, 
1.05000e-03,-6.00e+00,2.00e-02, 
1.06000e-03,-6.40e+00,2.48e-02, 
1.07000e-03,-7.20e+00,1.76e-02, 
1.08000e-03,-7.20e+00,1.76e-02, 
1.09000e-03,-8.00e+00,2.48e-02, 
1.10000e-03,-8.40e+00,2.64e-02, 
1.11000e-03,-9.20e+00,1.92e-02, 
1.12000e-03,-9.20e+00,1.76e-02, 
1.13000e-03,-1.04e+01,2.64e-02, 
1.14000e-03,-1.08e+01,2.64e-02, 
1.15000e-03,-1.12e+01,1.52e-02, 
1.16000e-03,-1.12e+01,2.24e-02, 
1.17000e-03,-1.24e+01,1.76e-02, 
1.18000e-03,-1.24e+01,2.56e-02, 
1.19000e-03,-1.36e+01,1.84e-02, 
1.20000e-03,-1.36e+01,1.52e-02, 
1.21000e-03,-1.48e+01,2.40e-02, 
1.22000e-03,-1.48e+01,1.20e-02, 
1.23000e-03,-1.52e+01,2.24e-02, 
1.24000e-03,-1.56e+01,2.08e-02, 
1.25000e-03,-1.64e+01,1.52e-02, 
1.26000e-03,-1.64e+01,2.40e-02, 
1.27000e-03,-1.72e+01,1.44e-02, 
1.28000e-03,-1.76e+01,2.32e-02, 
1.29000e-03,-1.80e+01,1.44e-02, 
1.30000e-03,-1.80e+01,1.36e-02, 
1.31000e-03,-1.92e+01,2.00e-02, 
1.32000e-03,-1.92e+01,1.44e-02, 
1.33000e-03,-1.96e+01,2.24e-02, 
1.34000e-03,-2.00e+01,1.84e-02, 
1.35000e-03,-2.08e+01,1.28e-02, 
1.36000e-03,-2.04e+01,2.00e-02, 
1.37000e-03,-2.16e+01,1.20e-02, 
1.38000e-03,-2.20e+01,2.32e-02, 
1.39000e-03,-2.16e+01,1.12e-02, 
1.40000e-03,-2.20e+01,8.80e-03, 
1.41000e-03,-2.28e+01,2.00e-02, 
1.42000e-03,-2.32e+01,1.20e-02, 
1.43000e-03,-2.36e+01,1.92e-02, 
1.44000e-03,-2.36e+01,1.76e-02, 
1.45000e-03,-2.44e+01,8.80e-03, 
1.46000e-03,-2.44e+01,7.20e-03, 
1.47000e-03,-2.48e+01,1.44e-02, 
1.48000e-03,-2.48e+01,5.60e-03, 
1.49000e-03,-2.56e+01,1.52e-02, 
1.50000e-03,-2.52e+01,4.80e-03, 
1.51000e-03,-2.64e+01,1.76e-02, 
1.52000e-03,-2.64e+01,6.40e-03, 
1.53000e-03,-2.68e+01,1.60e-02, 
1.54000e-03,-2.64e+01,2.40e-03, 
1.55000e-03,-2.72e+01,1.20e-02, 
1.56000e-03,-2.72e+01,1.28e-02, 
1.57000e-03,-2.80e+01,7.20e-03, 
1.58000e-03,-2.76e+01,1.44e-02, 
1.59000e-03,-2.80e+01,4.80e-03, 
